name,reviews_count,fuelType,engine_displacement,no_cylinder,seats,transmission_type,fuel_tank_capacity,typeId,rating,minPrice,maxPrice,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rp,imageUrl,brandId,year,country
BMW X3,6,Petrol,1998,4,5.0,Automatic,0.0,SUV,4.5,68778,75444,350.0,4800,248.08,5200,https://www.wandaloo.com/files/2024/12/BMW-X3-2025-Neuve-Maroc-20.jpg,BMW,2024,Germany
BMW X5,28,Petrol,2998,6,5.0,Automatic,0.0,SUV,4.5,88778,106556,450.0,5200,335.26,6500,https://mkt-vehicleimages-prd.autotradercdn.ca/photos/chrome/Expanded/White/2025BMS221932820/2025BMS22193282001.jpg,BMW,2024,Germany
BMW X5 M,30,Petrol,4395,8,5.0,Automatic,83.0,SUV,5.0,356667,554444,750.0,5600,616.87,6000,"https://hips.hearstapps.com/hmg-prod/images/p90495464-1677001974.jpg?crop=0.793xw:0.594xh;0.205xw,0.338xh&resize=1200:*",BMW,2024,Germany
BMW X6,4,Petrol,2998,6,5.0,Automatic,83.0,Coupe,4.5,115556,115556,450.0,5200,335.25,6500,https://friendscarrental.com/frontend/image/bmw-x6-2025-1734007737970.jpg,BMW,2024,Germany
BMW X7,15,Diesel,2993,6,7.0,Automatic,80.0,SUV,4.5,131111,197778,760.0,3000,394.26,4400,https://autohub.ma/wp-content/uploads/2024/07/bmw-x7-maroc.png,BMW,2022,Germany
BMW Z4,12,Petrol,2998,6,2.0,Automatic,52.0,Convertible,4.5,79889,94333,500.0,4500,335.0,6500,https://gialanbanh.vn/wp-content/uploads/2024/03/bmw-z4-roadster.jpg,BMW,2022,Germany
BMW i4,8,Electric,0,0,5.0,Electric,0.0,Sedan,4.5,77667,77667,430.0,0,335.25,0,https://cdn.motor1.com/images/mgl/NGeop2/s1/bmw-i4-m50-xdrive-2024.jpg,BMW,2023,Germany
BMW iX,3,Electric,0,0,5.0,Electric,0.0,SUV,4.5,128889,128889,630.0,0,321.84,0,https://www.automobile-propre.com/_next/image/?url=https%3A%2F%2Fcdn.automobile-propre.com%2Fuploads%2F2021%2F03%2FBMW-iX-restye%CC%81.jpg&w=1920&q=75,BMW,2023,Germany
BYD E6,6,Electric,0,0,5.0,Electric,0.0,MUV,4.5,32389,32389,180.0,0,93.87,0,https://imgcdn.oto.com.sg/large/gallery/exterior/27/299/byd-new-e6-electric-front-side-view-862573.jpg,BYD,2022,China
Bentley Bentayga,1,Petrol,3956,8,4.0,Automatic,85.0,SUV,4.0,455556,455556,770.0,4500,542.0,6000,https://image.bilnorge.no/1422735.webp?imageId=1422735&width=960&height=548&format=jpg,Bentley,2024,UK
