name,reviews_count,fuelType,engine_displacement,no_cylinder,seats,transmission_type,fuel_tank_capacity,typeId,rating,minPrice,maxPrice,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rp,imageUrl,brandId,year,country
Mahindra Scorpio Classic,14,Diesel,2184,4,7.0,Manual,60.0,SUV,4.5,13322,17211,300.0,2800,130.07,3750,https://imgd.aeplcdn.com/664x374/n/cw/ec/128413/scorpio-exterior-right-front-three-quarter-47.jpeg?isig=0&q=80,Mahindra,2022,India
Mahindra Scorpio-N,107,Diesel,2198,4,7.0,Automatic,57.0,SUV,4.5,13322,26556,400.0,2750,172.45,3500,https://cdn.wheel-size.com/automobile/body/mahindra-scorpio-n-2022-2023-1656918476.3884194.jpg,Mahindra,2023,India
Mahindra Thar,242,Diesel,2184,4,4.0,Automatic,57.0,SUV,4.5,15033,17811,300.0,2800,130.0,3750,https://images.hindustantimes.com/auto/img/2024/08/17/1600x900/Mahindra_Thar_Roxx_01_1723863061883_1723888572288.jpg,Mahindra,2024,India
Mahindra XUV300,2245,Diesel,1497,4,5.0,Automatic,42.0,SUV,4.5,9344,15633,300.0,2500,115.0,3750,https://www.mahindramaroc.ma/media/uploads/car/img/photo_color/227_EVEREST-WHITE_f6f6f6.jpg,Mahindra,2024,India
Mahindra XUV700,313,Diesel,2198,4,7.0,Automatic,60.0,SUV,4.5,14644,27311,450.0,2800,182.38,3500,https://cdn.wheel-size.com/automobile/body/mahindra-xuv700-2021-2023-1656916747.0430338.jpg,Mahindra,2024,India
Maruti Alto 800,437,CNG,796,3,5.0,Manual,60.0,Hatchback,4.5,3767,5589,60.0,3500,40.36,6000,https://img.gaadibazaar.in/new-vehicle-images/1452707/conversions/6472fa55-f295-46af-8267-d912d5b309b2-vdp.webp,Suzuki,2024,India
Maruti Alto 800 tour,4,Petrol,796,3,5.0,Manual,35.0,Hatchback,4.5,4344,4411,69.0,3500,47.33,6000,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxMSEhUSExIWFhUXFxYVFhgVGBcdFxgaGRUWFxUXFxUYICggGholGxcYITEhJSkrLi4vFx81ODUtNygtLisBCgoKDg0OFQ8PFSsZFRktListKystLS0rLS0tNy03NzIsLSsrKysrKys3Ky0rODgtKys0NSsrLS0rKystLTItOP/AABEIAL8BCAMBIgACEQEDEQH/xAAcAAEAAgMBAQEAAAAAAAAAAAAABgcDBAUCAQj/xABJEAACAQIDAwkEBgcFCAMBAAABAgADEQQSIQUxQQYTIlFhcYGRoQcyscEzQlJictEUQ4KSsuHwI0RTosIVFhckg9Li8XOTswj/xAAWAQEBAQAAAAAAAAAAAAAAAAAAAQL/xAAcEQEBAQACAwEAAAAAAAAAAAAAEQECIUFRYRL/2gAMAwEAAhEDEQA/ALxiIgIiICIiAiIgIiICIiAiIgIiICIiAiIgIiICIiAiIgIiICIiAiIgIiICIiAiIgIiICIiAiIgIiICIiAiIgIiICInzMOuB9iecw6xPuYdcD7E+Xn2AiIgIiICIiAiIgIiICIiAiIgIiICIiAiIgIia2Px9OiuZ2t1Die4QNmaeI2pSS96i6Gx1GhtexJOhsRp2yCcouXB1VNOoDee+QjFYvE1iSz5B5mazj7Z3ktzE8scKn65fAM3wE5mI9omFUE5n7xTa3qBKvfDKfeZm72PwvORj6StVFNAAAt3NhpcjLqd385ZhdWrU9qmD4c8e5fzaY6ntVw/+HWP7NP5vK0XYtAXvWax3nMvppNJthoSclRtCLHongDw7YmF1aH/ABWw4/U1/BaX/fH/ABXw3GliP3KZ+Dyq6mx6wuVrA962/OcnGGrTYq51GvAix43tEwuruHtWwm62IDHRV5k3Y8FWxNyTYDvknTE1Moeq2Qta1NRcgkXyk72b8IHHfa8r/wBmvJTmEXaGKUmqw/5akQLqG3PlO52G6/urqba2+8uOWbUC1GiQa5FqlQaimD+rp9vWfn7uVTbaPKFKP01ZKV9wqVBmPcg1PgZx39oeCX+9X/DSrH5SkqlR3YszFmY3JJJJPaTvm1hdnVLg82SPDdx4ywq/NkcpUxFI1qNXPTBZScrixX3gVYXv4T7gOWtCp9HiqD9gqJfyNjIJ7K62T9LofZenWA7HXIf/AM/WQ3bux8mLrUAoIWoct7WytZkGv3WEQr9EUtsA71Nusaj0vN2hi0f3WBn5qoYDE0taZdP/AI6hHoCBJJyb5aYjD1UTGMWpOwQVHAFSmx0UsQBnp30N9RvvJCr4ic/Z2Kvof67J0JFIiICIiAiIgIiICIiAiIgIkc5acpv0GmmSkataqxWnTF9SN+7XiBYdc4VPlLi+ZLYk0kdvq0gbUx9nOSc79ZGg3C++WJUm27ygSgCBYv6L3/lKt2zt+pXc5WudxY7h3TV2jtFq7EA2UHXrPHzmhVxKILFlUdpHzmsyM6y00C6726zv/lDPNF9p0/tjwMwDaoN7IxA3kSjoO3E7pG8TUJps31qzHwQa7+r3fKdLHYkNSIU6sQm7UZjYkjuvOPtqoQ6Kt7KoXTt6RH9dUg62xKAWkDxYlvkPQTU5R1jZUBIvcm3UNAPU+U6WDAFNOxRfyuZHNrYsVKlx7oGUdtidfWFaC1GRgysQRrvPr1iWH7P+TQx1dsbXX/laTDKp3Vai7l7UXeeBOn2hItyW5Pvj8QtBDlUdKtU4U04nqzHcB19gMuTaeLoYaiKKjJh6KC6j7AuAvazkG/X0usSaY1eV/KM0kzr9K4Ioj7CnQ1bdZ4eH3hKupYMsbnUm5JPHibzc23tt6tQ1GQljqTrYDgi9ijS/E3nOO3Qv6tifxW+RjB6GAnU2BQyuV4H+h/XbNrk+P0ilzhABzEWB7rX8516Wz8pBGkqPfJNOa2mV4VcM3nTenb+Np2OUWzFaqtTKMxQXNtbrpv7reU1Ep5Mfs9/t87TP7VF3+KCSXlFRPNrY2Idgbfeu0jSKfoU5XKfZHOYarYdJVLr3r0h8J3/0dvtt5mdShhQ6C4vcWPwMqMPsz2/z9BUY9NEVl6zTNh5oTl7issmhUzC8oT2Vo4xVKkp1pVMRTqfgVXBv2ZinkJeGFbKf63TOtN+IiQIiICIiAiJ5dwBcmwgeomjWx9vdHifymo9dm3nT+uqB1mqgbyP67Jr1toIpsSb9QBvNHnFGgE8ivbcLdwtAjfKPB43FV1qpSRVpXFEZ3VmzWztVcJoug/s10PEndI3tLkbtWv71Wko4ANe3qJYxrHrnkuZakVFU9l+PYsoxYW1ieiQrEj6rF+l8phPsfxXHEIfIeglw5zPSgnebd8EU2fZFixuq0/En5GeP+E2PHu1aHm4/OXTmUdZPkPzmli8TTTWo4UfecKPiAfGCKZxPsz2mu+rhx/1Wv5FJpN7NNqcMjX6nPzSXpRxKZQyMgU6gi2vcFmOrtJfvN6D5n1gijB7ONrLe1Lyel8yJkwPs52pUfK1MIt9WepRIH7hZvSXM+0WO4KPC58zMT4hzvYwRr7H2HSwGHWhSN2PSqvpmdus9g4Dh5yuPaTjny0aeYKKjVKrnWxy5Qi6X4MB3qJZoWaNTZdOpcPTVsrEDMoNr2YWvu0K+UKpjAUa2IdkWsQALjKHYam5HQ3b7+M6VHkHXfeax7qVvV3Et/B4IIMqqFHUBb4TfSiYRXnJrknXwqsEosxe12q1UG69gFW9t5nfXY2MbhQTvd2PookrWkZ7AA3kRSI3R5OYhq2Hq1a1G1B84WnTe7dBkILM/U54b7SQbRwRrI1PnGp9JWzIFJ3Wt0wRwPCQ+py5qJiWpGguRKrUyQWL5Q5XMLaa77dsmpxlIH6Rdx4jst8TA5dPkmn1sRiG/bVf4FEzpyVww3io34q1Y+ma03/8AaVL/ABBPh2rR+36N+UVXjZmx8PhyxoUEps3vMo6Td7HUzoAtIdyr2zjA9MYFWZbMXIVNGuuUHnOFr7pLtn1manTd1yuaYZl6myrmGnC5MDNW2maOTOpKM2QsN63F1Yj7OhB7xOtIhykqYgUagHNnokoQp95ekoa7HeRa2m+SLYeKNXDUKp3vSpue9kDH4zPlrcz85rdiIlZIiICcDbWL1p62DVAB1W3XJ7SROjtrGLRos7NlF1W/VnYLew6r38JWfL/aaVUdKdYMSMgVPdIJF7m2lhfjLgntrz7zZn52p7IPDTum7hOT1RmVQ7akDQ2OptoSQL95EsSr7NI9RnzJKd29yZek4XD1q4svTzVDqeB0IKsRvQgWI475x6uDxybsTiB3Vqo+DSQXzafLSgTj9op/e8T/APdV+Znd5O/p+IR6tbG1xSB5sDnXBZt5N76KN3aTbhG9Lnay9s8o8LhPpqyqfsjV+zojUd5sJFK/tAq1gf0PCOyj9ZVsE+IB8GbunJPJnDnMKtAMLNmqJXYlXsCpUnRgbm972ynrE6fJfDquDyVBmp5nFHnN7Ui5KlgNLW1G7eJc7TXNq47H1vpsVzY+zRB8swyA+KmdDZWyqKAl89VyNAWCtmB1DZFDHTXfwmJcDhqer1qy8bKaYA13C6T3s6mXqithnbmxoKrlSS31iMvRJB3WFrjXqNRtbO2XzeJdlugC5XQMSocm4XpE6gan8Q7Z2wJhw9EIoVdw6zcknUkk6kk3JPEmZlmdXHsDsh2I3JfxtPSTdpgWhXLOIq8KXnczCK+IztZQOivDtfXXu9JnrCvzy5QnM26RN89+yZqjqjksd6rYDecrNf8Aikzau8ZPrWC4g/Wt+78plXA1jvqnzaeX2p9lQO/WYm2lU+1buAlRtrscnfUY+f5zKNiUx7zHxInLbGOd7t5meOchHcGDw6ixI8SPlPNOnhgRfKfe1AcaZhlHeBpfjacUPPpfUdx+UCQCphR9UHwb5zNRxmHG5QP2ZHA8yK0KlwcEXWxHZungNr4flI7hcSyG4PeOB75lxu2gLtmFNRYFmIHXfU6D+UCSUnVrIdeBFj3HumxsOorYeiVAC82lgNwsoFvC1vCRvY23wbNzi1Kd/eUg28V3902fZvjecwe++R2XwNnH8cglMREBERArP2mcq6Cs2G51c1KzuuYXL2BVbdim/wC12SqKnKKo2rm5NrAWA+qSgNrhrHTNodNZk9oKX2nje2sf4VEjdVbqt95Wx1O64ABvw0PR1G+xBuJUdenyge1ywBAudFGuS9mBW69LTj38ZlpcqH+1cXF9F0GQEsBYZxe+7gB1yNVSbb+FhfXSwsNeFtLHsmGnUtpr+Xd9n/1FEyo8r6gA1XcupU5bk9IadLQZjcjW3aJtf74P9YIdWFspzEKLggBiDc6DUSDisb+Xjw1PH/1MibtwtZtOH8paJl/vMjaMlj0dACWu19Mqljpp5ief9oqr2p1HpuWK/wBnUdSxXfoMtxInfq093s/zb7zNhzlYEWFmO4hRqDpmO/TTzgSnE7QxDg5sRVcEFemxbQ7x07+U0cZtjEMAGr1TbQWYj+G05uF2lURSoykdRBt1aXN/WYqldm1yr/m/7oHytVLbyT3kn4za2LtmthXz0mtf3kOqP+JevtGomjmvwsfSfQsqLj5OcoKWLS69Fx79M7x2j7S9vnadOviMug3+glI4PFPScVKbFXXUEf1qOydzlLy7ZqK06AKVWH9qw+pwIQ9Z334Dt3ZipjtjlNhqBtWrgN9kXZh3qoNvG0x7K5WYWswWlXGfgDmUnuzAX8JSbIxuSCTvJsfMmY4H6cwm1BYhxdhutx7+qc/E1S1QEnerfFLCQL2f8qDW/wCWrG9RRdGO9wN4P3gPn1Sbu3SHc3xWB9Yz5mnwzxeBkzT7mmK89AwMmaM2vhFOkx3Anum5h9lVCTcAbhqey+7fxgYFaZUM6CbJUas/lu8zMGIq0FFkuzd+g8ePhA16+ICKzMbKASSdwAFyfKUXys2/WxtUsQ4pKTzaEGyj7TcMx4nwli+0PaBFFaCmzVmsfwLYv4XyjuJkUwwe2SivRXedBc9pO89kCP8AJ/b9XCF+bPRqKVdeBBFr26xfSX17C6+bDVxwFUW8aa/ICUJtvCZSHC5bkqy9Tb/Uay9v/wCfaJGBrORo1YAdoWlT+ZPlCrRiIkCIiB+ZeX/R2pir7jWPwWaOIwy3Q5dNATplvzi3H3RlYEtbiLXN5NfaNsdauKrhdKgqZr9eZVNj4WkKw9XIearZlysrA9RU3FxuI3+d+FjpDC7HWoui3sgdtcthlFyQx132v3dk8VuSmXfTqrw7jdRa9tDd1FvvDrm5QXogJUUggKcr2FhYjNmtcXAPeB1ToJtDFXJzMSCGucj3IOYML36V9b77gQI63Jq1vpBfddd54WFhczH/ALFsdKnmv85JKO166ZKpBsjZlzoRZhTFJSVAB6KqLX6u03w43aJZaaMFXIMq2AFzd3Y23XbNc2+yOqBFsJhGcOVvZAcxC30GgJ1sBv69xm3T2TUJspDEsFDKA1MnKG3no9luu09bGUZLZSWLoTlDNUAL3BCHo62A6WnhJPQyUF5yqbVSWJvYWuTY5FOUG1hpA4tXYZQXb3iSSL3t1XPXNSvQCb5tbR5QZrimO9m3+AnFeqW1JvA9sQTPN57w9EsdATMVY2JEDzWrWBM8bOwmbpHd8TMNXUgTuYHCF2Wim82W/VxY+AufCB8p4kL0VHgBNXaGGSsCygCoNdNM3YR19stPB8lqdOkwZnp2QOCBTCsxJGR6jsP7TQGxsLMLHfaKcqNjmi7aqWSxzJ7roRcEeGvZYiWIr7ZuMNCqlVd6MG8jqPEXHjL3WoDlI3EG3iLyitqUwKhtubpee/1ly7Jq2o0Cf8NL/uCZV2KVBnNlF5t09kNxYD1P5eswJt5EXKtM+J3nrmGpyhc+6ijzMDrU9lIN5J9Pzm0mFprrkA7W/npIo+2qrmwqeC2B9NZ4NKq2pWoe1gw9WgSmttSkmmcHsTX4aTnVdvG5yLbdq2voJx1wzcSi97r/AKLn0noUlG+oP2VZv4ssDYq4p395ifh5bp8QzWOMoA2zsT1BkH+WxPrMG1Ns08OnOPRqqlwM/N1ytzuGYjJcwIfyuxfOYxtdKSKn7TdNvQgeEnWzqFLB4FQ+GFR2TO4Y0+nmCu2ViC683a2g1zcd61SK5qGo7b3dnP7RvbuG6WJT2fUx1WmKV05qsalQkubobX6IJXKbcbWseBIlEW5U7NarlWhTZ2q25tQLuSCCBYcbMbns6pf/ACE2B+gYGjhiQXVb1CNxdjme3WATYdgEguAwirtTAU1+q2IY9yUcp/zEy2ZNMIiJFIiIFd+0fkhXq1BjcI39plCVaVrhwt8rjX3gNNNSLW3a0ftWpVrPmc5wPdCWyDuAJv4z9aSDcofZdgK6u1OlzNUqchpmyZrHKTT3WvvtaWo/N9en0t5TsI7B+XrMlN2y6VGBF9AdOybm08HVpM1Ml0emxV1zHQg2Ok5hxNTiQe9FPnpeBlO1K6Ho1D8fWZqfKDFAfTHzImt+kHitM9wYfAidrkpycxG0Xenh6Ck01DOS7KoubKMxv0jrYfdPVA0DyixR31WN9DZ56wYWsenUZW4Are/cb28JJsR7Ldpr/ci34K9A+jWnPrcg8empwOIHcKbeqtFGAbPoDe9Q9ygfEmZ6OHpD3aLN+Ik+i2mpiMJi00ajiV3D3WHYPrWHwmjjmqIctQVb9puPMEiUSvAbSFI9JUROIsBp8TIjtCsGd2AsGYkDqF9PSaqux3IZ6FF2ubAAC++B9wQvU7vlJvyIZUetXZWbmkFlRczEs31V4no+shmzU1v3/KSrkzWYLXCEByqML6jolhcgfjEYakHKbG0KDU8M9N+bysUPSshv74Zj0rEm410AE9jZ7hFpVNQC6rx0YAkA9QIJ/bM2NncnqePy1yc+S4Iz6K+bUZM31goNxvsRvE3ds4kUw53ihTc6bi50UX4m+k0imMVhzUqUkHvPZfMj85boemqgMSAoAFio0AtxB4Sr6bhWRgOkhNj3raxmartBmN7+Wg8hMqsaptLDrvA/adv9JAmq/KKiNy0+/IhPm9zK75yA0Cy8Nt/PocSlMfeNW37tNCJ1sJQwj61Nq0h2LTYH96oflKhUmZFLdZgXtg9jbKPvY8VO+vTQf5AD6zuYLYWy/qpQqdrOKn8TGfnJA/WZmWnUkhX6mwuEpJ9HTRfwKo+E4ntD2ScXs7E0FF3NPOg63pkVEHiUA8Z+fKK111U27jadfA1tqH6F8QfwPV/0mIVDsG8sPkviUZhVXEDDstPJVLVgmYCwBAtdtACQOPVpI8/IXabuXTBVSWOY3supNybuRO1gfZXtOpbNTp0evPVXx+jzSiZ+zRRisdXxig8xQpjC0C29ixD1G7DYA/8AU7JaM4PI3YTYLDJhyUst/cU6km5YsdSSeNp3pnVIiICCZ8InH2vsPnxbnHHcxgdCvj6Se/URe9gJzMRyuwab8Qh/Dr8JEcdyAqjVHVu/Q+c4WM5G4pf1RP4SDNTE7e/aHiNl43+0WpUp4gC3OJTurgbhUUkX7CCCO0aSoMXQIYgAsOsDQ+B1lg4vk/WX3qbjvUzl1dlHqiIhOU3sQQOMmOxOWVXCUhRww5pL5ja2ZmO9mY7z+Uw1Nknqms+yT1RB1cR7QMY2+vU8G/KczEcp6r+9Uc97MfiZrvss9UxNs09UA21mPGa9bHFt+syNs49U8HZ7dUDBz/ZPLVzM52e3VPJwTDgYV6wtMcJ0tj4/mKwci41Vh1qdCLHf1203TlorLwMPiF4m3fpAsbZ+xwzmpQI5grqyV1RQG1INwHUjiGAOuk43LHbFMqMNQYMtw1R191mHuqn3B66eMWwqvVOWkrVCOFNS7a9igmTPk77OsbWIZsOyX41ehbtKt0vSWohYwpMzJgSeEuLB+yh/r10H4VJ9SRO5hPZlhl993fxAHoLzKqJp7MM2qOyCTYC57J+hsJyOwVPdh0Pa92/inYw+Ep09ERVH3VA+EUj8+YHkVianu4eoe0qQPNrSQYL2X4pveVE/E2vkt5dURSKzwXspA+krjuRPmx+U7uD9nWCT3g7n7zW9FtJfElVzMHyewtL3MPTHblBPmZ0lUDcLd0+xAREQEREBERAREQEREDyUB3iYKuApN71NT3gTZiByK3JnCNvoJ4C3wmlV5D4Nv1ZHcxkkiBEKns8wp3Fx4j5ia1T2a0DuquPBfyk4iKK/f2Y0+FY+KD85jPsvX/HH7n/lLEiWkV4nsvTjX8qf/lOhhvZthF9/M/jb4SZxFIjdLkJgF/u4P4mc/OdDDcnMJT9zC0Qevm1v5kXnUiQeUQAWAAHUN09REBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERA//Z",Suzuki,2022,India
Maruti Alto K10,51,Petrol,998,3,5.0,Automatic,27.0,Hatchback,4.5,4433,6478,89.0,3500,65.71,5500,https://stimg.cardekho.com/images/carexteriorimages/930x620/Maruti/Alto-K10/10331/1687349000534/front-left-side-47.jpg,Suzuki,2024,India
Maruti Baleno,137,Petrol,1197,4,5.0,Automatic,37.0,Hatchback,4.5,7211,10789,113.0,4400,88.5,6000,https://imgd.aeplcdn.com/642x336/n/cw/ec/102663/baleno-exterior-right-front-three-quarter-69.jpeg?isig=0&q=80,Suzuki,2023,India
Maruti Brezza,86,Petrol,1462,4,5.0,Automatic,48.0,SUV,4.5,8878,15511,136.8,4400,101.65,6000,https://www.motorbeam.com/wp-content/uploads/Maruti-Suzuki-Brezza-Price-1200x900.jpg,Suzuki,2022,India
Maruti Celerio,89,Petrol,998,3,5.0,Automatic,32.0,Hatchback,3.5,5833,7778,89.0,3500,65.71,5500,https://imgd.aeplcdn.com/1056x594/n/ws5hbua_1541093.jpg?q=80,Suzuki,2023,India
Maruti Ciaz,666,Petrol,1462,4,5.0,Automatic,43.0,Sedan,4.5,9989,13311,138.0,4400,103.25,6000,https://media.assettype.com/tnm/import/sites/default/files/Ciaz3x2.jpg?w=1200&h=675&auto=format%2Ccompress&fit=max&enlarge=true,Suzuki,2023,India
Maruti Dzire,245,Petrol,1197,4,5.0,Automatic,37.0,Sedan,4.5,6933,10200,113.0,4400,88.5,6000,https://imgd-ct.aeplcdn.com/664x415/n/cw/ec/170299/dzire-2024-right-front-three-quarter.jpeg?isig=0&q=80,Suzuki,2024,India
Maruti Eeco,264,Petrol,1196,4,7.0,Manual,65.0,Minivan,4.5,5144,6600,85.0,3000,61.68,6000,https://www.autovista.in/assets/img/new_cars_colour_variants/eeco-colour-midnight-black.jpg,Suzuki,2024,India
Maruti Ertiga,110,Petrol,1462,4,7.0,Automatic,45.0,MUV,4.5,9278,14211,136.8,4400,101.65,6000,https://htcms-prod-images.s3.ap-south-1.amazonaws.com/htmobile1/marutisuzuki_ertiga/images/colour_marutisuzuki-ertiga_pearl-metallic-arctic-white_600x400.jpg,Suzuki,2023,India
Maruti Ignis,461,Petrol,1197,4,5.0,Automatic,32.0,Hatchback,4.5,5944,8578,113.0,4200,81.8,6000,https://www.motorbeam.com/wp-content/uploads/Maruti-Ignis-Facelift-1.jpg,Suzuki,2024,India
Maruti S-Cross,77,Petrol,1462,4,5.0,Automatic,48.0,SUV,4.5,9944,14356,138.0,4400,103.25,6000,https://chybmedia.s3.ap-south-1.amazonaws.com/models/cars/s---cross-11-311-6225ec1e0eb2f.png,Suzuki,2024,India
Maruti S-Presso,301,Petrol,998,3,5.0,Automatic,27.0,Hatchback,4.5,4722,6656,89.0,3500,65.71,5500,https://imgd.aeplcdn.com/1056x594/n/2s8d33a_1591331.jpg?q=80,Suzuki,2022,India
Maruti Swift,205,Petrol,1197,4,5.0,Automatic,37.0,Hatchback,4.0,6578,9833,113.0,4400,88.5,6000,https://www.rushlane.com/wp-content/uploads/2024/02/2024-maruti-swift-india-launch-9-may-2024-5.jpg,Suzuki,2022,India
Maruti Swift Dzire Tour,1,CNG,1197,4,5.0,Manual,55.0,Sedan,4.5,150000,285556,95.0,4000,70.4,6000,https://stimg.cardekho.com/images/carexteriorimages/930x620/Maruti/Swift-Dzire-Tour/8863/1717397917382/front-left-side-47.jpg,Suzuki,2024,India
Maruti XL6,58,Petrol,1462,4,6.0,Automatic,45.0,MUV,4.5,12544,16167,136.8,4400,101.65,6000,https://imgd.aeplcdn.com/1056x594/n/zwuqg3a_1573857.jpg?q=80,Suzuki,2024,India
Maserati Ghibli,2,Petrol,3799,8,5.0,Automatic,80.0,Sedan,3.0,127778,214444,450.0,1500,330.0,1500,https://i.gaw.to/content/photos/48/08/480848-meme-l-amour-a-un-prix.jpg,Maserati,2024,Italy
Maserati GranCabrio,2,Diesel,4691,8,4.0,Automatic,75.0,Convertible,4.0,176667,176667,520.0,0,460.0,0,"https://media.autoexpress.co.uk/image/private/s--X-WVjvBW--/f_auto,t_content-image-full-desktop@1/v1732007997/evo/2024/11/Maserati_GranCabrio_Trofeo_review_evo_01_ljyjuw.jpg",Maserati,2024,Italy
Maserati GranTurismo,3,Petrol,4691,8,4.0,Automatic,86.0,Coupe,5.0,446667,446667,520.0,4750,460.0,7000,https://cdn.motor1.com/images/mgl/JOOE9n/s3/maserati-granturismo-folgore.jpg,Maserati,2023,Italy
Maserati Levante,4,Petrol,2979,6,5.0,Automatic,80.0,SUV,3.5,165556,182222,580.0,5750,350.0,5750,https://autohub.ma/wp-content/uploads/2024/07/maserati_levante_1.webp,Maserati,2023,Italy
Maserati Quattroporte,2,Petrol,3799,8,5.0,Automatic,80.0,Sedan,4.5,190000,235556,650.0,4000,530.0,6800,https://cdn.prod.website-files.com/63fe11299d35c575d57a5632/667958febb4a929fe15e2973_(1)1.jpg,Maserati,2024,Italy
Mclaren GT,1,Petrol,3994,8,,Automatic,72.0,Coupe,4.5,500000,500000,630.0,0,611.51,0,https://upload.wikimedia.org/wikipedia/commons/0/08/2022_McLaren_GT.jpg,McLaren,2024,UK
Mercedes-Benz A-Class Limousine,3,Diesel,1950,4,5.0,Automatic,66.0,Sedan,4.5,152222,282222,320.0,3500,147.51,4000,https://imgd.aeplcdn.com/1056x594/n/tl8njbb_1685321.jpg?q=80,Mercedes,2023,Germany
Mercedes-Benz AMG A 35,21,Petrol,1991,4,5.0,Automatic,51.0,Sedan,4.5,22100,22100,400.0,4000,301.73,5800,https://media.fastestlaps.com/mercedes-benz-amg-a-35-sedan.jpg,MG,2024,UK
Mercedes-Benz AMG A 45 S,35,Petrol,1991,4,5.0,Automatic,0.0,Hatchback,4.5,7322,11100,500.0,5250,415.71,6750,https://www.largus.fr/images/images/essai-mercedes-a-45-amg-rouge-2014i.jpg,MG,2023,UK
Mercedes-Benz AMG C 43,1,Petrol,2996,6,5.0,Automatic,0.0,Coupe,4.5,123333,123333,520.0,5000,384.87,6100,https://stimg.cardekho.com/images/carexteriorimages/930x620/Mercedes-Benz/AMG-C43/11277/1698911625529/front-left-side-47.jpg,MG,2024,UK
Mercedes-Benz AMG G 63,8,Petrol,3982,8,5.0,Automatic,0.0,SUV,4.5,283333,283333,850.0,3500,576.63,6000,https://i.gaw.to/vehicles/photos/08/56/085675_2018_mercedesbenz_Classe_G.jpg?640x400,MG,2022,UK
Mercedes-Benz AMG GLC 43,9,Petrol,2996,6,5.0,Automatic,0.0,SUV,4.5,10300,10844,520.0,5000,384.87,6100,https://www.motortrend.com/uploads/sites/5/2020/06/2020-Mercedes-AMG-GLC-43-34.jpg,MG,2024,UK
Mercedes-Benz AMG GLE 53,1,Petrol,2999,6,5.0,Automatic,85.0,Coupe,4.5,333333,388889,520.0,5800,435.0,6100,https://www.naplesillustrated.com/wp-content/uploads/sites/82/2023/10/Mercedes-AMG-GLE-53-Coupeedes-AMG-GLE-53-Coupe-parked-at-Nantahala-Lake-1024x694.jpg,MG,2024,UK
Mercedes-Benz AMG GLE 63 S,2,Petrol,3982,8,5.0,Automatic,0.0,SUV,4.5,238889,238889,850.0,5000,603.46,6500,https://vehicle-images.dealerinspire.com/cbe2-110012062/4JGFB8KB2RB205768/2b112d94c0728ec340be43ae9285825b.jpg,MG,2023,UK
Mercedes-Benz AMG GT,16,Petrol,3982,8,2.0,Automatic,75.0,Coupe,4.5,301111,301111,700.0,5500,576.63,6250,https://cdn-datak.motork.net/configurator-imgs/cars/fr/800/MERCEDES/AMG-GT/43063_COUPE-3-PORTES/mercedes-benz-amg-gt-coupe-front-view.jpg,MG,2024,UK
Mercedes-Benz C-Class,11,Diesel,1993,4,5.0,Automatic,0.0,Sedan,4.5,61111,67778,550.0,2200,261.49,4200,https://vehicle-images.dealerinspire.com/0239-11001113/W1KAF4GB9SR239777/55f59f66cd1b7bc95d64556813398760.jpg,Mercedes,2024,Germany
Mercedes-Benz CLS,60,Diesel,1950,4,5.0,Automatic,66.0,Coupe,4.5,9833,10133,500.0,2400,241.3,4200,https://wieck-mbusa-production.s3.amazonaws.com/photos/aea3a1025cd0d6abed5f3017a2b2c449d4f9c033/preview-928x522.jpg,Mercedes,2022,Germany
Mercedes-Benz E-Class,8,Diesel,2925,6,5.0,Automatic,0.0,Sedan,4.5,74444,94444,600.0,3200,281.61,4600,https://www.mercedes-benz.ca/content/dam/mb-nafta/ca/myco/my25/e-class/sedan/class-page/series/MBCAN-2025-E-SEDAN-CT-2-7-01-DR.jpg,Mercedes,2024,Germany
Mercedes-Benz EQC,1,Electric,0,0,5.0,Automatic,0.0,SUV,4.5,91633,91633,760.0,0,402.3,0,https://img.20mn.fr/SZFU5HuvQwy_rHT500jiwyk/1444x920_mercedes,Mercedes,2022,Germany
Mercedes-Benz EQS,2,Electric,0,0,5.0,Electric,0.0,Sedan,5.0,282222,282222,1020.0,0,750.97,0,"https://www.mercedes-benz.ch/content/dam/hq/passengercars/cars/eqs/eqs-v297-pi/overview/exterior-highlights/02-2024/images/mercedes-benz-eqs-v297-exterior-hotspot-start-3302x1858-02-2024.jpg/1740019606249.jpg?im=Crop,rect=(0,0,3302,1857);Resize=(1850)",Mercedes,2022,Germany
Mercedes-Benz G-Class,12,Diesel,2925,6,5.0,Automatic,100.0,SUV,4.5,191111,191111,600.0,3200,281.61,4600,https://mkt-vehicleimages-prd.autotradercdn.ca/photos/chrome/Expanded/White/2024MBSA80001/2024MBSA8000101.jpg,Mercedes,2023,Germany
Mercedes-Benz GLA,12,Diesel,1950,4,5.0,Automatic,0.0,SUV,4.5,49889,54333,400.0,2600,187.74,3800,https://www.mbusa.com/content/dam/mb-nafta/us/myco/my25/gla-class/gallery/series/gallery-class/2025-GLA-SUV-GAL-008-E-FE-DR.jpg,Mercedes,2023,Germany
